year,country,who_region,cumulative_cases_2022,health_ppp
2022,San Marino,EURO,22813,3050.9182
2022,Saudi Arabia,EMRO,826667,1316.2603
2022,Senegal,AFRO,88896,59.097584
2022,Serbia,EURO,2438130,641.02502
2022,Seychelles,AFRO,50355,839.77332
2022,Sierra Leone,AFRO,7760,46.157955
2022,Singapore,WPRO,2193890,2632.7139
2022,Slovakia,EURO,1858531,
2022,Slovenia,EURO,1297794,2219.1006
2022,Solomon Islands,WPRO,24575,111.90449
2022,Somalia,EMRO,27300,
2022,South Africa,AFRO,4046603,546.68842
2022,South Sudan,AFRO,18368,22.638187
2022,Spain,EURO,13651239,2711.1929
2022,Sri Lanka,SEARO,671838,160.69696
2022,Sudan,EMRO,63686,46.928841
2022,Suriname,AMRO,81581,619.24713
2022,Sweden,EURO,2665176,5671.3857
2022,Switzerland,EURO,4365587,9666.3379
2022,Tajikistan,EURO,17786,61.872253
2022,Thailand,SEARO,4718908,296.1651
2022,Timor-Leste,SEARO,23386,92.670044
2022,Togo,AFRO,39339,51.155029
2022,Tonga,WPRO,16211,242.37277
2022,Trinidad and Tobago,AMRO,185882,1167.9331
2022,Tunisia,EMRO,1147477,233.05931
2022,Türkiye,EURO,17004677,
2022,Uganda,AFRO,169715,32.408443
2022,Ukraine,EURO,5354738,248.13348
2022,United Arab Emirates,EMRO,1046359,1842.6945
2022,United Kingdom,EURO,24135084,4312.8892
2022,United States of America,AMRO,99027628,
2022,Uruguay,AMRO,1002988,1660.9529
2022,Uzbekistan,EURO,249217,98.573166
2022,Vanuatu,WPRO,12013,104.24961
2022,Venezuela (Bolivarian Republic of),AMRO,549548,
2022,Viet Nam,WPRO,11523567,
2022,Yemen,EMRO,11945,
2022,Zambia,AFRO,333746,69.324379
2022,Zimbabwe,AFRO,259981,103.02827
