Date_reported,Country_code,Country,WHO_region,adjusted_cum_cases
03/01/2020,AL,Albania,EURO,0
04/01/2020,AL,Albania,EURO,0
05/01/2020,AL,Albania,EURO,0
06/01/2020,AL,Albania,EURO,0
07/01/2020,AL,Albania,EURO,0
08/01/2020,AL,Albania,EURO,0
09/01/2020,AL,Albania,EURO,0
10/01/2020,AL,Albania,EURO,0
11/01/2020,AL,Albania,EURO,0
12/01/2020,AL,Albania,EURO,0
13/01/2020,AL,Albania,EURO,0
14/01/2020,AL,Albania,EURO,0
15/01/2020,AL,Albania,EURO,0
16/01/2020,AL,Albania,EURO,0
17/01/2020,AL,Albania,EURO,0
18/01/2020,AL,Albania,EURO,0
19/01/2020,AL,Albania,EURO,0
20/01/2020,AL,Albania,EURO,0
21/01/2020,AL,Albania,EURO,0
22/01/2020,AL,Albania,EURO,0
23/01/2020,AL,Albania,EURO,0
24/01/2020,AL,Albania,EURO,0
25/01/2020,AL,Albania,EURO,0
26/01/2020,AL,Albania,EURO,0
27/01/2020,AL,Albania,EURO,0
28/01/2020,AL,Albania,EURO,0
29/01/2020,AL,Albania,EURO,0
30/01/2020,AL,Albania,EURO,0
31/01/2020,AL,Albania,EURO,0
01/02/2020,AL,Albania,EURO,0
02/02/2020,AL,Albania,EURO,0
03/02/2020,AL,Albania,EURO,0
04/02/2020,AL,Albania,EURO,0
05/02/2020,AL,Albania,EURO,0
06/02/2020,AL,Albania,EURO,0
07/02/2020,AL,Albania,EURO,0
08/02/2020,AL,Albania,EURO,0
09/02/2020,AL,Albania,EURO,0
10/02/2020,AL,Albania,EURO,0
11/02/2020,AL,Albania,EURO,0
12/02/2020,AL,Albania,EURO,0
13/02/2020,AL,Albania,EURO,0
14/02/2020,AL,Albania,EURO,0
15/02/2020,AL,Albania,EURO,0
16/02/2020,AL,Albania,EURO,0
17/02/2020,AL,Albania,EURO,0
18/02/2020,AL,Albania,EURO,0
19/02/2020,AL,Albania,EURO,0
20/02/2020,AL,Albania,EURO,0
21/02/2020,AL,Albania,EURO,0
22/02/2020,AL,Albania,EURO,0
23/02/2020,AL,Albania,EURO,0
24/02/2020,AL,Albania,EURO,0
25/02/2020,AL,Albania,EURO,0
26/02/2020,AL,Albania,EURO,0
27/02/2020,AL,Albania,EURO,0
28/02/2020,AL,Albania,EURO,0
29/02/2020,AL,Albania,EURO,0
01/03/2020,AL,Albania,EURO,0
02/03/2020,AL,Albania,EURO,0
03/03/2020,AL,Albania,EURO,0.285714286
04/03/2020,AL,Albania,EURO,0.285714286
05/03/2020,AL,Albania,EURO,1.428571429
06/03/2020,AL,Albania,EURO,2.142857143
07/03/2020,AL,Albania,EURO,3.285714286
08/03/2020,AL,Albania,EURO,4.714285714
09/03/2020,AL,Albania,EURO,5.428571429
10/03/2020,AL,Albania,EURO,5.714285714
11/03/2020,AL,Albania,EURO,7
12/03/2020,AL,Albania,EURO,6.428571429
13/03/2020,AL,Albania,EURO,6.285714286
14/03/2020,AL,Albania,EURO,5.857142857
15/03/2020,AL,Albania,EURO,5.285714286
16/03/2020,AL,Albania,EURO,5.428571429
17/03/2020,AL,Albania,EURO,8
18/03/2020,AL,Albania,EURO,7.571428571
19/03/2020,AL,Albania,EURO,9.714285714
20/03/2020,AL,Albania,EURO,12.42857143
21/03/2020,AL,Albania,EURO,15.71428571
22/03/2020,AL,Albania,EURO,16.57142857
23/03/2020,AL,Albania,EURO,17.28571429
24/03/2020,AL,Albania,EURO,16.28571429
25/03/2020,AL,Albania,EURO,17
26/03/2020,AL,Albania,EURO,17.14285714
27/03/2020,AL,Albania,EURO,16.14285714
28/03/2020,AL,Albania,EURO,14.71428571
29/03/2020,AL,Albania,EURO,16.85714286
30/03/2020,AL,Albania,EURO,19.42857143
31/03/2020,AL,Albania,EURO,21.28571429
01/04/2020,AL,Albania,EURO,22
02/04/2020,AL,Albania,EURO,20
03/04/2020,AL,Albania,EURO,20.14285714
04/04/2020,AL,Albania,EURO,18.85714286
05/04/2020,AL,Albania,EURO,16
06/04/2020,AL,Albania,EURO,14.28571429
07/04/2020,AL,Albania,EURO,12.14285714
08/04/2020,AL,Albania,EURO,12.85714286
09/04/2020,AL,Albania,EURO,13.14285714
10/04/2020,AL,Albania,EURO,13.42857143
11/04/2020,AL,Albania,EURO,15.57142857
12/04/2020,AL,Albania,EURO,17.57142857
13/04/2020,AL,Albania,EURO,16.42857143
14/04/2020,AL,Albania,EURO,16.57142857
15/04/2020,AL,Albania,EURO,16.71428571
