Year,Country,WHO_region,Population,Cumulative_cases_2022,Cumulative_deaths_2022,US_option
2022,Luxembourg,EURO,645397,311746,1178,Excluding the US
2022,Mauritius,AFRO,1266334,289980,1039,Excluding the US
2022,Montenegro,EURO,621306,284464,2790,Excluding the US
2022,Kosovo,EURO,1798188,272200,3192,Excluding the US
2022,Algeria,AFRO,45400000,271179,6881,Excluding the US
2022,Brunei Darussalam,WPRO,429999,266819,146,Excluding the US
2022,Nigeria,AFRO,218541000,266381,3155,Excluding the US
2022,Zimbabwe,AFRO,15178979,259981,5637,Excluding the US
2022,Uzbekistan,EURO,35970275,249217,1637,Excluding the US
2022,Mozambique,AFRO,31616078,230918,2229,Excluding the US
2022,Martinique,AMRO,,224826,1076,Excluding the US
2022,Lao People's Democratic Republic,WPRO,7337783,217586,757,Excluding the US
2022,Iceland,EURO,385230,207974,229,Excluding the US
2022,Afghanistan,EMRO,32890171,207214,7845,Excluding the US
2022,Kyrgyzstan,EURO,7000000,206557,2991,Excluding the US
2022,El Salvador,AMRO,6825935,201785,4230,Excluding the US
2022,Guadeloupe,AMRO,,198608,997,Excluding the US
2022,Trinidad and Tobago,AMRO,1367558,185882,4277,Excluding the US
2022,Maldives,SEARO,383135,185666,311,Excluding the US
2022,Ghana,AFRO,30832019,171038,1461,Excluding the US
2022,Namibia,AFRO,2550226,170164,4080,Excluding the US
2022,Uganda,AFRO,42885900,169715,3630,Excluding the US
2022,Jamaica,AMRO,2734093,152758,3461,Excluding the US
2022,Cambodia,WPRO,15552211,138467,3056,Excluding the US
2022,Rwanda,AFRO,12955768,132920,1467,Excluding the US
2022,Cameroon,AFRO,24348251,123993,1965,Excluding the US
2022,Malta,EURO,519562,116212,813,Excluding the US
2022,Angola,AFRO,33086278,104973,1928,Excluding the US
2022,Barbados,AMRO,282000,104416,567,Excluding the US
2022,French Guiana,AMRO,,97526,411,Excluding the US
2022,DR Congo,AFRO,99010000,94969,1461,Excluding the US
2022,Senegal,AFRO,17223497,88896,1968,Excluding the US
2022,Malawi,AFRO,21507723,88123,2685,Excluding the US
2022,Suriname,AMRO,598000,81581,1393,Excluding the US
2022,New Caledonia,WPRO,273674,79162,314,Excluding the US
2022,French Polynesia,WPRO,279890,77910,649,Excluding the US
2022,Eswatini,AFRO,1202000,73992,1422,Excluding the US
2022,Guyana,AMRO,743699,71963,1286,Excluding the US
2022,Belize,AMRO,441471,69675,688,Excluding the US
2022,Fiji,WPRO,898402,68702,881,Excluding the US
2022,Madagascar,AFRO,26923353,67684,1415,Excluding the US
2022,Jersey,EURO,107800,65130,146,Excluding the US
2022,Sudan,EMRO,45038680,63686,4994,Excluding the US
2022,Mauritania,AFRO,4271197,63423,997,Excluding the US
2022,Cabo Verde,AFRO,563198,63173,412,Excluding the US
2022,Bhutan,SEARO,763200,62524,21,Excluding the US
2022,Syrian Arab Republic,EMRO,22125000,57423,3163,Excluding the US
2022,Burundi,AFRO,12574571,51722,15,Excluding the US
2022,Seychelles,AFRO,100447,50355,172,Excluding the US
2022,Guam,WPRO,153836,49851,411,Excluding the US
2022,Gabon,AFRO,2233272,48973,306,Excluding the US
2022,Andorra,EURO,81057,47686,165,Excluding the US
2022,Papua New Guinea,WPRO,9122994,46663,669,Excluding the US
2022,Curaçao,AMRO,153671,45707,299,Excluding the US
2022,Aruba,AMRO,111050,43752,280,Excluding the US
2022,United Republic of Tanzania,AFRO,61741120,42111,845,Excluding the US
2022,Mayotte,AFRO,,41969,187,Excluding the US
2022,Togo,AFRO,7886000,39339,290,Excluding the US
2022,Guinea,AFRO,12907395,38191,465,Excluding the US
2022,Isle of Man,EURO,84069,38008,116,Excluding the US
2022,Bahamas,AMRO,393450,37491,833,Excluding the US
2022,Faroe Islands,EURO,54159,34658,28,Excluding the US
2022,Lesotho,AFRO,2306000,34490,706,Excluding the US
2022,Guernsey,EURO,63823,33910,66,Excluding the US
2022,Haiti,AMRO,11743017,33893,860,Excluding the US
2022,Mali,AFRO,22594000,32767,743,Excluding the US
2022,Cayman Islands,AMRO,71105,31472,37,Excluding the US
2022,Saint Lucia,AMRO,178696,29741,409,Excluding the US
2022,Benin,AFRO,12506347,27982,163,Excluding the US
2022,Somalia,EMRO,17598000,27300,1361,Excluding the US
2022,Congo,AFRO,5970000,24775,386,Excluding the US
2022,Solomon Islands,WPRO,728041,24575,153,Excluding the US
2022,United States Virgin Islands,AMRO,87146,23721,127,Excluding the US
2022,Timor-Leste,SEARO,1317780,23386,138,Excluding the US
2022,San Marino,EURO,33785,22813,120,Excluding the US
2022,Micronesia (Federated States of),WPRO,105754,22069,58,Excluding the US
2022,Burkina Faso,AFRO,21510181,22006,395,Excluding the US
2022,Liechtenstein,EURO,39444,21228,87,Excluding the US
2022,Gibraltar,EURO,33000,20252,110,Excluding the US
2022,Grenada,AMRO,125000,19644,238,Excluding the US
2022,Bermuda,AMRO,64055,18557,152,Excluding the US
2022,South Sudan,AFRO,13249924,18368,138,Excluding the US
2022,Tajikistan,EURO,9506000,17786,125,Excluding the US
2022,Equatorial Guinea,AFRO,1505588,17089,183,Excluding the US
2022,Tonga,WPRO,100179,16211,12,Excluding the US
2022,Samoa,WPRO,199853,15982,29,Excluding the US
2022,Monaco,EURO,39150,15897,65,Excluding the US
2022,Dominica,AMRO,73000,15760,74,Excluding the US
2022,Djibouti,EMRO,976107,15690,189,Excluding the US
2022,Marshall Islands,WPRO,39262,15547,17,Excluding the US
2022,Nicaragua,AMRO,6595674,15365,245,Excluding the US
2022,Central African Republic,AFRO,5633412,15310,113,Excluding the US
2022,Northern Mariana Islands (Commonwealth of the),WPRO,47329,13236,41,Excluding the US
2022,Gambia,AFRO,2706000,12586,372,Excluding the US
2022,Saint Martin,AMRO,32489,12104,46,Excluding the US
2022,Vanuatu,WPRO,301295,12013,14,Excluding the US
2022,Greenland,EURO,56619,11971,21,Excluding the US
2022,Yemen,EMRO,33697000,11945,2159,Excluding the US
2022,Sint Maarten,AMRO,42577,10988,89,Excluding the US
2022,Eritrea,AFRO,3684000,10189,103,Excluding the US
2022,Saint Vincent and the Grenadines,AMRO,110696,9521,118,Excluding the US
2022,Niger,AFRO,24112753,9473,314,Excluding the US
2022,Antigua and Barbuda,AMRO,100772,9106,146,Excluding the US
2022,Comoros,AFRO,758316,8979,160,Excluding the US
2022,Guinea-Bissau,AFRO,1646077,8848,176,Excluding the US
2022,American Samoa,WPRO,49710,8266,34,Excluding the US
2022,Liberia,AFRO,4661010,8043,294,Excluding the US
2022,Sierra Leone,AFRO,8494260,7760,125,Excluding the US
2022,Chad,AFRO,16818391,7649,194,Excluding the US
2022,British Virgin Islands,AMRO,31000,7305,64,Excluding the US
